"","lon","lat","species"
"1",88.342672,26.941431,1
"2",121.332683,25.010625,1
"4",120.661295,22.7295,1
"5",121.007793,24.203194,1
"6",121.501729,24.938776,1
"7",120.622119,23.85655,1
"8",121.500884,24.937642,1
"9",121.49947,24.935827,1
"10",121.498,24.935535,1
"11",121.497048,24.941724,1
"13",120.843278,23.667967,1
"14",120.934772,23.850511,1
"15",120.870968,23.549705,1
"16",121.588532,25.095666,1
"17",120.82904,23.946752,1
"18",120.68637,22.968695,1
"19",120.922713,23.557787,1
"20",139.308668,35.313903,1
"21",139.308571,35.313882,1
"22",121.13916,24.887976,1
"23",121.105026,24.574005,1
"24",120.98554,24.793297,1
"25",121.455077,25.1875,1
"27",120.92472,23.558859,1
"28",121.195036,24.84048,1
"29",127.167264,36.713883,1
"30",121.146297,24.624219,1
"31",120.695074,23.504611,1
"32",-83.375092,34.031986,1
"33",121.299276,25.064075,1
"34",121.299981,25.063922,1
"35",120.672775,23.546638,1
"36",-83.350242,33.878375,1
"37",120.988183,24.793663,1
"38",133.688575,33.561211,1
"39",133.675402,33.553935,1
"40",133.675427,33.553949,1
"41",133.688447,33.560035,1
"42",-84.284444,33.806701,1
"43",-83.374128,33.947956,1
"44",133.675938,33.55399,1
"45",133.689355,33.560019,1
"46",139.547251,35.424078,1
"47",-83.367098,33.954633,1
"48",-83.345598,33.923097,1
"49",130.583073,31.185354,1
"50",-84.323711,33.987186,1
"51",-84.372696,33.905438,1
"52",-83.911216,34.134744,1
"53",117.821308,29.2339,1
"55",133.675416,33.553961,1
"56",117.8127,29.22513,1
"57",102.692043,24.952358,1
"58",-83.378005,33.941303,1
"59",114.284732,26.52486,1
"60",-84.352668,33.808624,1
"61",-84.352733,33.808826,1
"62",-84.352672,33.808975,1
"63",-84.35289,33.808792,1
"64",-84.352923,33.80875,1
"65",126.706141,37.68784,1
"66",-84.296295,34.238012,1
"67",-84.364869,33.730554,1
"68",139.583939,35.834521,1
"69",139.564895,35.8136,1
"71",139.565553,35.813737,1
"72",-84.228402,33.867771,1
"74",-84.006813,33.917267,1
"75",-84.114297,34.331038,1
"76",136.597227,36.507175,1
"77",-84.118622,33.924011,1
"79",-84.373941,34.006557,1
"80",-83.369812,33.928925,1
