"","lon","lat","species"
"3",121.530346,25.104309,1
"12",139.699403,35.67162,1
"26",121.500774,24.947452,1
"54",138.978897,34.662017,1
"70",139.884398,35.631575,1
"73",139.832383,35.686588,1
"78",126.986426,37.552593,1
"88",139.701783,35.671783,1
"105",139.720488,35.676345,1
"106",139.720505,35.676375,1
"107",139.720917,35.676328,1
"129",139.720887,35.676437,1
"176",135.012504,34.587206,1
"194",138.866988,36.26987,1
"200",139.720703,35.675788,1
"205",126.821771,37.002807,1
"223",129.931305,33.547822,1
"252",139.693174,35.674904,1
"253",139.719326,35.637517,1
"291",139.391983,34.784387,1
"338",139.840777,35.63987,1
"339",139.840516,35.641886,1
"340",139.695933,35.286897,1
"383",126.978068,37.555543,1
"388",139.8527,35.694245,1
"432",-84.372615,33.790401,1
"433",-84.373396,33.78979,1
"446",127.896772,34.727982,1
"458",139.701187,35.675392,1
"545",139.783879,35.669129,1
"559",128.964543,35.050339,1
"588",126.942451,37.518158,1
"614",134.642994,34.236901,1
"615",139.72145,35.681012,1
"616",128.961939,35.052802,1
"617",128.963883,35.05235,1
"639",139.708358,35.68465,1
"647",139.727188,35.681172,1
"699",127.001153,37.570492,1
"711",135.338033,33.676486,1
"721",139.763008,35.660201,1
"723",126.996048,37.579634,1
"761",139.737655,35.720986,1
"806",139.839816,35.648031,1
"807",139.762572,35.657555,1
"817",126.618872,33.2463,1
"819",-84.373287,33.791257,1
"874",139.69942,35.674976,1
"876",139.711752,35.682676,1
"878",139.705793,35.687133,1
"885",139.745966,35.719769,1
"886",139.860054,35.639159,1
"887",139.860909,35.639088,1
"902",139.696655,35.672908,1
"903",139.845305,35.69057,1
"911",133.989822,34.444705,1
"938",139.69838,35.671875,1
"939",127.803702,34.594083,1
"940",139.346482,35.432358,1
"952",139.698333,35.672097,1
"957",139.781615,35.61723,1
"958",139.698975,35.67367,1
"1026",139.754412,35.687062,1
"1028",139.75505,35.686163,1
"1035",139.754745,35.68908,1
"1050",139.707505,35.685745,1
"1080",129.152423,35.152843,1
"1099",139.698965,35.674394,1
"1100",139.700015,35.677119,1
"1111",139.762098,35.662214,1
"1115",139.755472,35.691863,1
"1122",139.742005,35.721455,1
"1123",85.320183,27.729314,1
"1127",139.867628,35.64232,1
"1128",139.868061,35.641626,1
"1129",139.698632,35.674402,1
"1130",139.698632,35.674402,1
"1144",139.758721,35.65495,1
"1155",139.698472,35.671887,1
"1158",139.754927,35.686527,1
"1170",139.867514,35.64156,1
"1173",139.753394,35.60588,1
"1189",135.350067,33.670792,1
"1193",126.9589,37.512779,1
"1223",126.893979,37.570685,1
"1240",127.819172,34.479904,1
"1241",116.358534,40.005156,1
"1242",116.350957,40.00263,1
"1249",116.355319,40.003137,1
"1265",139.743949,35.71967,1
"1266",139.742833,35.720794,1
"1280",139.698547,35.671653,1
"1283",129.152358,35.152333,1
"1285",139.698558,35.675631,1
"1291",139.865999,35.640418,1
"1292",139.865999,35.640418,1
"1293",139.865999,35.640418,1
"1313",139.868935,35.641173,1
"1319",139.858679,35.641334,1
"1333",139.728798,35.678724,1
"1341",126.992072,37.551342,1
"1342",126.992072,37.551342,1
"1344",126.886594,37.569782,1
"1365",139.697242,35.67441,1
"1372",126.557916,33.518923,1
"1388",139.108808,34.871502,1
"1392",128.859497,32.783475,1
"1398",116.39315,39.99885,1
"1400",139.868317,35.641433,1
"1404",139.7489,35.688287,1
"1405",135.335539,33.693213,1
"1406",121.56531,25.090722,1
"1408",139.745025,35.733558,1
"1409",139.747453,35.733988,1
"1415",121.541458,25.092711,1
"1425",121.50015,24.947946,1
"1426",121.500737,24.950114,1
"1448",-84.373108,33.790803,1
"1470",126.675689,37.394326,1
"1491",128.943194,35.088585,1
"1546",126.879058,37.546045,1
"1566",127.024929,37.529988,1
"1584",129.033282,35.100295,1
"1624",126.983457,37.553479,1
"1664",-83.37512,33.943336,1
"1832",-83.375053,33.94281,1
"1857",126.531331,37.48748,1
"1922",126.949032,37.463772,1
"1945",-83.375328,33.943481,1
"2015",139.840447,35.689087,1
"2129",139.754573,35.604688,1
"2146",85.383313,27.594195,1
"2150",85.383255,27.594155,1
"2155",85.383032,27.594388,1
"2202",139.726883,35.680797,1
"2214",139.753267,35.605798,1
"2215",139.726455,35.680988,1
"2221",139.718628,35.679725,1
"2222",139.721022,35.676158,1
"2229",126.988,37.551429,1
"2230",-83.37545,33.943451,1
"2243",126.992758,37.579188,1
"2291",134.106414,34.561813,1
"2292",139.72618,35.68102,1
"2313",-84.372886,33.790724,1
"2341",139.724992,35.681283,1
"2352",135.015228,34.582358,1
"2358",139.720933,35.676858,1
"2359",139.720903,35.676912,1
"2360",139.720488,35.676722,1
"2401",139.721038,35.67627,1
"2402",139.721145,35.676247,1
"2403",139.721097,35.676129,1
"2404",139.721162,35.676195,1
"2405",139.721145,35.676188,1
"2406",139.721175,35.676197,1
"2407",139.721083,35.676145,1
"2408",139.721113,35.676063,1
"2409",139.721113,35.676087,1
"2410",139.721083,35.676087,1
"2411",139.721113,35.676012,1
"2443",139.137944,34.20451,1
"2445",139.710297,35.685193,1
"2448",126.989145,37.556553,1
"2458",133.018632,32.725929,1
"2467",127.002153,37.556287,1
"2473",139.730103,35.639075,1
"2495",139.827972,35.689695,1
"2521",139.71982,35.675322,1
"2536",139.726242,35.68095,1
"2537",139.72673,35.680828,1
"2561",139.752967,35.605656,1
"2573",139.7193,35.679388,1
"2574",139.720505,35.676528,1
"2575",139.720812,35.676822,1
"2584",139.809402,35.737358,1
"2604",130.56933,30.430271,1
"2632",139.72075,35.676963,1
"2637",139.726592,35.680992,1
"2644",139.752886,35.604852,1
"2649",130.648208,30.311203,1
"2670",121.531381,25.085605,1
"2674",121.553764,25.087405,1
"2680",121.527377,25.082112,1
"2691",139.753723,35.605533,1
